timestamp,name,gender,age,συμπαθές,δημιουργικό,ήρεμο/συναισθηματικά ισορροπημένο,εξωστρεφές,συνοχή,εγωκεντρικό / νάρκισσος,ευέξαπτο,αξιόπιστο / σωστός επαγγελματίας,εμπιστευόμουν για θέματα fitness,εμπιστευόμουν για τομέα διαφορετικό,follow,reasons,category
2021/05/02 2:56:00 μ.μ. GMT+3,flexatronrhoden,Γυναίκα,25,3,1,3,1,5,4,3,3,1,1,Όχι,Τιποτα,body_building
2021/05/02 3:04:12 μ.μ. GMT+3,frank_medrano ,Γυναίκα,25,5,3,5,3,2,1,2,4,4,3,Ναι,έχει ωραίο lifestyle,body_building
2021/05/02 3:07:34 μ.μ. GMT+3,Hannaoeberg ,Γυναίκα,25,4,3,4,4,2,2,2,4,4,3,Όχι,έχει ωραίο lifestyle,fitness_model
2021/05/02 3:11:38 μ.μ. GMT+3,casssmartin ,Γυναίκα,25,4,1,2,3,2,2,4,3,2,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,fitness_model
2021/05/02 3:13:50 μ.μ. GMT+3,c.t.ali.fletcher ,Γυναίκα,25,4,1,4,4,4,2,2,2,2,4,Όχι,Τιποτα,body_building
2021/05/02 3:18:02 μ.μ. GMT+3,demibagby ,Γυναίκα,25,5,4,4,4,2,2,2,4,4,4,Ναι,έχει ωραίο lifestyle,body_building
2021/05/02 3:20:23 μ.μ. GMT+3,Yarishna ,Γυναίκα,25,1,1,1,5,3,5,4,3,1,1,Όχι,Ίου. Τίποτα. ,body_building
2021/05/02 3:24:27 μ.μ. GMT+3,Stevecook ,Γυναίκα,25,5,5,3,5,5,3,3,3,5,5,Ναι,έχει ωραίο lifestyle,body_building
2021/05/02 3:26:41 μ.μ. GMT+3,espana927 ,Γυναίκα,25,4,1,2,5,3,3,3,3,1,1,Όχι,Τιποτα,
2021/05/02 8:46:52 μ.μ. GMT+3,jimmy_lewin,Γυναίκα,25,2,2,1,4,3,4,3,3,1,1,Όχι,δε θα το ακολουθούσα ,body_building
2021/05/02 8:49:17 μ.μ. GMT+3,romanelanceford,Γυναίκα,25,4,3,4,5,1,2,1,4,4,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/02 8:51:27 μ.μ. GMT+3,ryan_spiteri,Γυναίκα,25,4,3,3,5,2,4,2,4,4,1,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/02 8:53:01 μ.μ. GMT+3,valentinalequeux,Γυναίκα,25,4,3,3,4,4,3,1,4,4,1,Όχι,αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/02 8:55:02 μ.μ. GMT+3,stephaniesanzo,Γυναίκα,25,2,3,3,4,2,4,2,4,4,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/02 8:56:51 μ.μ. GMT+3,tavicastro,Γυναίκα,25,2,2,2,4,2,4,3,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/02 8:58:07 μ.μ. GMT+3,roellywinklaar,Γυναίκα,25,2,3,2,4,3,4,3,3,2,2,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/02 8:59:57 μ.μ. GMT+3,mandysacs,Γυναίκα,25,3,3,3,4,3,4,2,3,3,1,Όχι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,athlete
2021/05/02 9:01:32 μ.μ. GMT+3,shonda1020,Γυναίκα,25,5,4,4,4,1,2,1,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
2021/05/02 9:03:16 μ.μ. GMT+3,misslisamorales,Γυναίκα,25,5,4,4,4,4,2,1,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
2021/05/02 9:05:16 μ.μ. GMT+3,lisafiitt,Γυναίκα,25,4,4,4,4,4,2,1,4,4,3,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,body_building
2021/05/02 9:52:44 μ.μ. GMT+3,larrywheels,Άντρας,24,2,2,2,4,2,5,4,2,2,2,Όχι,έχει ωραίο σώμα,athlete
2021/05/02 9:54:25 μ.μ. GMT+3,emilyskyefit,Άντρας,24,4,3,5,5,2,3,1,3,4,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle,body_building
